flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival
1,NR7933,2017-08-31 19:20:35+00:00,2017-08-29 23:29:27+00:00,DME,KHV,Scheduled,319,,
2,IR0205,2017-09-13 04:08:45+00:00,2017-09-12 01:55:28+00:00,LED,DME,Scheduled,319,,
3,YJ3339,2017-08-20 10:53:20+00:00,2017-09-12 12:57:10+00:00,GRV,VKO,Scheduled,320,,
4,GW6939,2017-08-23 15:19:48+00:00,2017-09-13 11:19:19+00:00,CNN,MQF,Scheduled,CN1,,
5,UX3109,2017-09-12 17:03:31+00:00,2017-08-18 15:42:30+00:00,SCW,DME,Scheduled,319,,
6,BE0822,2017-08-29 05:18:21+00:00,2017-09-02 05:32:40+00:00,KZN,KJA,Scheduled,CN1,,
7,QS5644,2017-08-26 15:57:54+00:00,2017-09-06 14:33:59+00:00,VKO,DME,Scheduled,320,,
8,CJ3181,2017-08-26 22:02:24+00:00,2017-08-26 06:13:46+00:00,SVX,KJA,Scheduled,320,,
9,OB1436,2017-08-21 05:59:39+00:00,2017-09-14 13:28:34+00:00,LED,DME,Scheduled,320,,
10,JF8453,2017-09-02 21:53:42+00:00,2017-08-23 17:33:48+00:00,NAL,LED,Scheduled,321,,
11,CV6012,2017-09-06 03:01:47+00:00,2017-08-24 06:23:19+00:00,DME,SVO,Scheduled,321,,
12,YD7612,2017-08-17 02:58:58+00:00,2017-08-29 04:09:01+00:00,PEE,KHV,Scheduled,SU9,,
13,ZS3479,2017-09-09 06:07:33+00:00,2017-08-21 11:05:02+00:00,DME,SVO,Scheduled,321,,
14,OM4715,2017-09-07 04:44:57+00:00,2017-09-04 21:15:11+00:00,NSK,OVB,Scheduled,321,,
15,NY4478,2017-08-22 20:17:20+00:00,2017-08-24 07:37:16+00:00,SVX,OGZ,Scheduled,CN1,,
